ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 -7.64 	 -3.6
C2 	 c 	 8.53 	 0.4
C3 	 c 	 -11.12 	 0.68
C4 	 c 	 -18.88 	 -1.21
C5 	 c 	 -3.45 	 -7.73
C6 	 c 	 21.86 	 -0.74
C7 	 c 	 4.97 	 -9.44
C8 	 c 	 -26.99 	 2.07
C9 	 c 	 28.72 	 1.63
C10 	 c 	 10.39 	 -2.15
C11 	 c 	 -11.42 	 -3.27
C12 	 c 	 23.68 	 -1.2
C13 	 c 	 -5.48 	 -3.01
C14 	 c 	 -4.64 	 -1.81
C15 	 c 	 -28.08 	 6.62
C16 	 c 	 -22.1 	 0.22
C17 	 c 	 -10.16 	 2.53
C18 	 c 	 -8.78 	 5.02
C19 	 c 	 -7.62 	 -9.25
C20 	 c 	 -12.44 	 0.23
C21 	 c 	 -24.6 	 5.64
C22 	 c 	 -21.14 	 -4.58
C23 	 c 	 23.46 	 -4.05
C24 	 c 	 19.49 	 1.82
C25 	 c 	 -5.12 	 -6.82
C26 	 c 	 -17.77 	 -3.8
C27 	 c 	 28.26 	 5.84
C28 	 c 	 10.32 	 2.92
C29 	 c 	 22.31 	 -0.78
C30 	 c 	 27.49 	 5.39
C31 	 c 	 -5.54 	 -5.95
C32 	 c 	 5.22 	 3.14
C33 	 c 	 -7.57 	 -0.58
C34 	 c 	 -7.41 	 -0.79
C35 	 c 	 27.71 	 -1.0
C36 	 c 	 11.1 	 -0.87
C37 	 c 	 4.75 	 3.4
C38 	 c 	 23.37 	 -5.48
C39 	 c 	 -27.66 	 6.48
C40 	 c 	 -10.19 	 -6.23
C41 	 c 	 6.07 	 -6.97
C42 	 c 	 3.95 	 -8.31
C43 	 c 	 -10.21 	 -2.27
C44 	 c 	 26.61 	 -4.14
C45 	 c 	 21.81 	 1.03
C46 	 c 	 -1.92 	 -0.44
C47 	 c 	 6.2 	 -6.58
C48 	 c 	 7.92 	 -2.86
C49 	 c 	 9.22 	 -5.16
C50 	 c 	 -14.92 	 -6.09


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /13/
seed for generator /2310/

pStart /0/
pAfs /0.5/
pClient /0.5/
