ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 -24.54 	 2.77
C2 	 c 	 -6.62 	 -6.19
C3 	 c 	 3.46 	 -2.81
C4 	 c 	 26.28 	 -4.2
C5 	 c 	 -10.95 	 -3.66
C6 	 c 	 -12.39 	 -8.68
C7 	 c 	 2.09 	 -2.26
C8 	 c 	 3.82 	 -7.48
C9 	 c 	 14.33 	 -1.09
C10 	 c 	 20.19 	 0.59
C11 	 c 	 9.74 	 -6.08
C12 	 c 	 4.25 	 -8.19
C13 	 c 	 -0.54 	 -3.36
C14 	 c 	 27.44 	 0.45
C15 	 c 	 15.9 	 -3.52
C16 	 c 	 10.44 	 -1.07
C17 	 c 	 -5.49 	 -9.01
C18 	 c 	 -19.33 	 1.18
C19 	 c 	 11.68 	 -2.33
C20 	 c 	 16.59 	 -7.46
C21 	 c 	 26.83 	 2.14
C22 	 c 	 10.62 	 -0.84
C23 	 c 	 7.59 	 -3.09
C24 	 c 	 2.16 	 -7.21
C25 	 c 	 2.46 	 -1.94
C26 	 c 	 14.13 	 2.64
C27 	 c 	 11.0 	 -5.14
C28 	 c 	 -17.77 	 1.42
C29 	 c 	 12.28 	 -3.57
C30 	 c 	 11.04 	 -4.01
C31 	 c 	 -8.95 	 -5.46
C32 	 c 	 20.71 	 2.56
C33 	 c 	 13.33 	 -5.28
C34 	 c 	 7.94 	 -3.88
C35 	 c 	 -28.0 	 3.25
C36 	 c 	 19.2 	 -1.5
C37 	 c 	 8.5 	 3.4
C38 	 c 	 12.4 	 -7.02
C39 	 c 	 -24.02 	 -1.35
C40 	 c 	 -8.86 	 -4.0
C41 	 c 	 -12.36 	 -5.12
C42 	 c 	 23.56 	 -1.31
C43 	 c 	 4.29 	 -3.44
C44 	 c 	 -1.36 	 -9.36
C45 	 c 	 7.69 	 -7.0
C46 	 c 	 -5.12 	 -2.61
C47 	 c 	 14.75 	 0.08
C48 	 c 	 -16.6 	 4.15
C49 	 c 	 29.11 	 -0.39
C50 	 c 	 25.1 	 -1.13
C51 	 c 	 3.85 	 -8.17
C52 	 c 	 23.87 	 4.26
C53 	 c 	 6.13 	 -3.14
C54 	 c 	 -10.02 	 -5.06
C55 	 c 	 23.63 	 -4.93
C56 	 c 	 -2.05 	 0.6
C57 	 c 	 -19.14 	 0.43
C58 	 c 	 1.51 	 -3.25
C59 	 c 	 -6.29 	 -2.88
C60 	 c 	 15.22 	 -0.24
C61 	 c 	 -0.92 	 -1.35
C62 	 c 	 8.55 	 3.69
C63 	 c 	 26.45 	 2.77
C64 	 c 	 2.22 	 -2.46
C65 	 c 	 -10.71 	 -8.5
C66 	 c 	 29.32 	 0.07
C67 	 c 	 25.17 	 -5.47
C68 	 c 	 6.86 	 1.08
C69 	 c 	 -9.52 	 -8.71
C70 	 c 	 27.02 	 -8.89
C71 	 c 	 -14.85 	 -8.49
C72 	 c 	 -24.41 	 5.19
C73 	 c 	 4.68 	 -5.69
C74 	 c 	 -0.89 	 -5.73
C75 	 c 	 5.94 	 -9.68
C76 	 c 	 27.68 	 6.46
C77 	 c 	 3.53 	 -9.13
C78 	 c 	 16.02 	 -3.99
C79 	 c 	 3.92 	 -7.62
C80 	 c 	 0.44 	 -1.45
C81 	 c 	 4.72 	 1.39
C82 	 c 	 20.73 	 -8.83
C83 	 c 	 13.32 	 -7.38
C84 	 c 	 3.64 	 1.24
C85 	 c 	 12.99 	 -2.27
C86 	 c 	 5.51 	 -5.24
C87 	 c 	 8.41 	 -3.45
C88 	 c 	 10.55 	 -0.09
C89 	 c 	 18.42 	 -8.42
C90 	 c 	 2.04 	 -1.2
C91 	 c 	 3.83 	 -1.84
C92 	 c 	 -4.6 	 -8.0
C93 	 c 	 4.99 	 -3.44
C94 	 c 	 -5.62 	 -8.26
C95 	 c 	 18.64 	 -3.66
C96 	 c 	 8.24 	 0.74
C97 	 c 	 -5.21 	 -9.55
C98 	 c 	 2.89 	 -5.4
C99 	 c 	 0.69 	 -6.87
C100 	 c 	 10.87 	 -1.78


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2970/

pStart /0/
pAfs /0.5/
pClient /0.5/
