ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 -18.26 	 -5.36
C2 	 c 	 6.86 	 -5.6
C3 	 c 	 -4.94 	 -2.85
C4 	 c 	 19.46 	 1.23
C5 	 c 	 -25.29 	 -3.11
C6 	 c 	 -11.75 	 -3.25
C7 	 c 	 21.83 	 -0.87
C8 	 c 	 20.41 	 -6.24
C9 	 c 	 -7.95 	 -8.39
C10 	 c 	 14.01 	 -8.82
C11 	 c 	 -27.32 	 1.47
C12 	 c 	 21.44 	 -2.5
C13 	 c 	 -6.75 	 -7.27
C14 	 c 	 -21.6 	 -4.94
C15 	 c 	 10.6 	 -8.2
C16 	 c 	 -0.45 	 -2.07
C17 	 c 	 -23.62 	 -6.83
C18 	 c 	 -9.66 	 -4.58
C19 	 c 	 -5.7 	 -2.87
C20 	 c 	 -14.11 	 -8.35
C21 	 c 	 -0.04 	 -5.95
C22 	 c 	 -17.51 	 -3.03
C23 	 c 	 -16.04 	 -6.66
C24 	 c 	 -24.26 	 -4.22
C25 	 c 	 4.25 	 -1.49
C26 	 c 	 -15.97 	 -9.88
C27 	 c 	 4.08 	 -4.96
C28 	 c 	 -15.49 	 1.51
C29 	 c 	 8.03 	 -4.09
C30 	 c 	 5.09 	 -7.56
C31 	 c 	 -4.6 	 -6.62
C32 	 c 	 -3.47 	 -4.76
C33 	 c 	 -10.95 	 -8.01
C34 	 c 	 23.61 	 2.03
C35 	 c 	 3.28 	 -6.41
C36 	 c 	 -4.1 	 -0.91
C37 	 c 	 -24.92 	 2.92
C38 	 c 	 -12.85 	 1.27
C39 	 c 	 18.45 	 -0.68
C40 	 c 	 -28.27 	 -4.1
C41 	 c 	 24.95 	 -3.91
C42 	 c 	 -8.69 	 -8.37
C43 	 c 	 -13.69 	 -9.41
C44 	 c 	 -3.74 	 -1.89
C45 	 c 	 -13.8 	 -3.37
C46 	 c 	 -2.26 	 -1.09
C47 	 c 	 23.04 	 0.03
C48 	 c 	 -18.53 	 -0.52
C49 	 c 	 -16.43 	 1.17
C50 	 c 	 -29.29 	 -4.63
C51 	 c 	 12.94 	 -7.27
C52 	 c 	 -26.73 	 -8.66
C53 	 c 	 -21.45 	 -6.09
C54 	 c 	 -21.8 	 -6.6
C55 	 c 	 -18.59 	 -6.62
C56 	 c 	 22.35 	 -1.73
C57 	 c 	 6.05 	 1.09
C58 	 c 	 13.57 	 -7.5
C59 	 c 	 -8.7 	 -4.03
C60 	 c 	 18.63 	 1.34
C61 	 c 	 -26.6 	 -6.22
C62 	 c 	 2.11 	 -0.35
C63 	 c 	 -9.05 	 -1.1
C64 	 c 	 -26.5 	 -2.03
C65 	 c 	 -6.35 	 -6.0
C66 	 c 	 -6.37 	 -1.12
C67 	 c 	 1.01 	 -1.87
C68 	 c 	 17.86 	 2.0
C69 	 c 	 -8.31 	 -9.17
C70 	 c 	 12.78 	 -8.06
C71 	 c 	 -23.79 	 0.32
C72 	 c 	 18.41 	 -4.02
C73 	 c 	 -0.79 	 -7.23
C74 	 c 	 19.17 	 -8.92
C75 	 c 	 10.99 	 -9.08
C76 	 c 	 -23.99 	 0.92
C77 	 c 	 -26.98 	 -9.52
C78 	 c 	 5.31 	 -0.71
C79 	 c 	 20.93 	 -3.62
C80 	 c 	 -15.25 	 -4.66
C81 	 c 	 -9.61 	 -2.82
C82 	 c 	 -6.09 	 -3.4
C83 	 c 	 -2.48 	 -2.73
C84 	 c 	 -5.29 	 -7.87
C85 	 c 	 -16.34 	 -6.06
C86 	 c 	 24.17 	 -7.94
C87 	 c 	 9.57 	 -6.39
C88 	 c 	 2.03 	 -4.01
C89 	 c 	 -15.73 	 -4.66
C90 	 c 	 -5.86 	 -0.85
C91 	 c 	 -15.22 	 -9.15
C92 	 c 	 -18.61 	 -7.28
C93 	 c 	 8.44 	 -9.8
C94 	 c 	 18.42 	 -3.64
C95 	 c 	 -23.74 	 -5.38
C96 	 c 	 -23.42 	 -2.97
C97 	 c 	 -19.96 	 -3.82
C98 	 c 	 -19.65 	 -8.57
C99 	 c 	 -10.41 	 -5.51
C100 	 c 	 -24.52 	 -4.67


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /30/
seed for generator /1181/

pStart /0/
pAfs /0.5/
pClient /0.5/
