ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 24.94 	 2.8
C2 	 c 	 11.05 	 -0.22
C3 	 c 	 -14.61 	 -3.35
C4 	 c 	 -24.38 	 1.42
C5 	 c 	 21.93 	 -0.7
C6 	 c 	 7.2 	 -3.17
C7 	 c 	 -14.57 	 -0.88
C8 	 c 	 -4.64 	 -2.87
C9 	 c 	 -25.34 	 -2.15
C10 	 c 	 -7.22 	 -6.86
C11 	 c 	 0.2 	 -4.67
C12 	 c 	 15.78 	 -5.56
C13 	 c 	 -14.92 	 -8.15
C14 	 c 	 -10.91 	 -0.69
C15 	 c 	 12.86 	 -0.56
C16 	 c 	 11.36 	 -4.29
C17 	 c 	 -11.87 	 -4.15
C18 	 c 	 -23.63 	 1.02
C19 	 c 	 -26.2 	 2.58
C20 	 c 	 13.76 	 -0.22
C21 	 c 	 -25.59 	 -3.04
C22 	 c 	 7.09 	 -6.38
C23 	 c 	 -18.61 	 0.07
C24 	 c 	 20.26 	 -5.41
C25 	 c 	 -17.57 	 -2.83
C26 	 c 	 14.74 	 -0.12
C27 	 c 	 16.52 	 -9.97
C28 	 c 	 -8.02 	 2.22
C29 	 c 	 -19.4 	 -9.74
C30 	 c 	 15.98 	 -7.89
C31 	 c 	 22.62 	 -3.01
C32 	 c 	 4.7 	 -0.8
C33 	 c 	 25.82 	 -0.08
C34 	 c 	 10.77 	 -4.65
C35 	 c 	 17.82 	 -0.69
C36 	 c 	 9.64 	 -0.64
C37 	 c 	 -26.06 	 -4.44
C38 	 c 	 -23.49 	 4.75
C39 	 c 	 -4.48 	 -2.27
C40 	 c 	 5.35 	 1.27
C41 	 c 	 -11.39 	 -1.93
C42 	 c 	 19.31 	 -1.05
C43 	 c 	 -17.58 	 -7.82
C44 	 c 	 9.92 	 -6.96
C45 	 c 	 2.64 	 -7.11
C46 	 c 	 18.72 	 -4.58
C47 	 c 	 27.21 	 5.76
C48 	 c 	 -14.09 	 -8.29
C49 	 c 	 23.91 	 5.89
C50 	 c 	 21.14 	 -8.95
C51 	 c 	 -14.33 	 -0.55
C52 	 c 	 -0.63 	 -1.87
C53 	 c 	 -16.76 	 -1.48
C54 	 c 	 -28.6 	 -1.02
C55 	 c 	 -9.76 	 -7.03
C56 	 c 	 -12.03 	 3.86
C57 	 c 	 -27.4 	 -4.28
C58 	 c 	 -26.96 	 -2.73
C59 	 c 	 15.53 	 3.68
C60 	 c 	 4.94 	 -3.0
C61 	 c 	 15.67 	 -4.89
C62 	 c 	 23.58 	 -6.9
C63 	 c 	 2.27 	 -7.99
C64 	 c 	 -18.73 	 3.52
C65 	 c 	 -15.07 	 -5.17
C66 	 c 	 -17.66 	 -0.42
C67 	 c 	 -6.55 	 -6.96
C68 	 c 	 -10.36 	 -8.92
C69 	 c 	 -24.58 	 6.53
C70 	 c 	 -15.61 	 3.86
C71 	 c 	 -15.73 	 2.01
C72 	 c 	 -9.06 	 -3.68
C73 	 c 	 -12.01 	 -2.92
C74 	 c 	 -4.14 	 -1.04
C75 	 c 	 -13.93 	 -2.9
C76 	 c 	 10.8 	 -5.86
C77 	 c 	 9.55 	 -1.29
C78 	 c 	 -13.55 	 -3.24
C79 	 c 	 11.33 	 0.89
C80 	 c 	 -26.41 	 -2.05
C81 	 c 	 12.49 	 -2.44
C82 	 c 	 -24.67 	 6.79
C83 	 c 	 -21.84 	 -3.16
C84 	 c 	 5.3 	 -9.02
C85 	 c 	 11.71 	 -2.86
C86 	 c 	 5.1 	 -7.76
C87 	 c 	 -28.43 	 3.25
C88 	 c 	 18.8 	 0.12
C89 	 c 	 -25.42 	 0.63
C90 	 c 	 -5.72 	 -2.49
C91 	 c 	 -14.76 	 2.6
C92 	 c 	 -21.49 	 4.15
C93 	 c 	 -25.7 	 1.24
C94 	 c 	 -16.98 	 -4.52
C95 	 c 	 12.16 	 -1.21
C96 	 c 	 -20.32 	 -6.23
C97 	 c 	 12.53 	 -1.65
C98 	 c 	 -13.35 	 -5.06
C99 	 c 	 -22.86 	 0.86
C100 	 c 	 -22.12 	 0.96


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2070/

pStart /0/
pAfs /0.5/
pClient /0.5/
