ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 1.34 	 -1.99
C2 	 c 	 3.83 	 -7.36
C3 	 c 	 -2.16 	 -0.09
C4 	 c 	 -27.95 	 0.81
C5 	 c 	 -3.77 	 -2.59
C6 	 c 	 -9.13 	 -3.89
C7 	 c 	 -22.01 	 -5.64
C8 	 c 	 26.85 	 -2.07
C9 	 c 	 16.61 	 -3.12
C10 	 c 	 15.71 	 -7.7
C11 	 c 	 -22.72 	 -3.21
C12 	 c 	 18.43 	 -7.46
C13 	 c 	 19.01 	 -7.21
C14 	 c 	 22.18 	 -3.25
C15 	 c 	 11.16 	 -1.54
C16 	 c 	 0.91 	 -0.87
C17 	 c 	 -22.45 	 -3.38
C18 	 c 	 21.65 	 -5.51
C19 	 c 	 -8.83 	 -7.98
C20 	 c 	 11.46 	 -0.23
C21 	 c 	 2.83 	 -2.46
C22 	 c 	 -18.37 	 -6.29
C23 	 c 	 -7.01 	 -2.11
C24 	 c 	 -5.91 	 -8.59
C25 	 c 	 6.58 	 -8.99
C26 	 c 	 -1.15 	 -7.72
C27 	 c 	 15.58 	 -5.92
C28 	 c 	 3.5 	 -8.87
C29 	 c 	 26.01 	 -4.3
C30 	 c 	 9.03 	 2.95
C31 	 c 	 -4.53 	 -4.2
C32 	 c 	 13.49 	 -4.51
C33 	 c 	 3.21 	 1.03
C34 	 c 	 -10.21 	 -6.26
C35 	 c 	 -8.26 	 -9.63
C36 	 c 	 19.49 	 -2.06
C37 	 c 	 -23.0 	 -3.32
C38 	 c 	 2.27 	 -4.19
C39 	 c 	 4.3 	 1.9
C40 	 c 	 27.27 	 1.37
C41 	 c 	 5.72 	 1.07
C42 	 c 	 -3.98 	 -4.56
C43 	 c 	 21.27 	 -7.63
C44 	 c 	 2.77 	 -1.97
C45 	 c 	 -18.1 	 -3.99
C46 	 c 	 7.16 	 -2.21
C47 	 c 	 16.15 	 -2.88
C48 	 c 	 -5.89 	 -0.33
C49 	 c 	 21.7 	 0.03
C50 	 c 	 13.03 	 -4.17
C51 	 c 	 -11.39 	 -0.52
C52 	 c 	 29.79 	 -2.28
C53 	 c 	 -29.51 	 3.13
C54 	 c 	 4.59 	 1.75
C55 	 c 	 15.96 	 -7.84
C56 	 c 	 -2.94 	 -9.06
C57 	 c 	 -2.5 	 -9.25
C58 	 c 	 -25.27 	 3.78
C59 	 c 	 -25.08 	 -8.02
C60 	 c 	 21.0 	 -5.5
C61 	 c 	 19.07 	 -8.81
C62 	 c 	 -26.39 	 2.38
C63 	 c 	 -1.58 	 -1.8
C64 	 c 	 -6.63 	 -5.35
C65 	 c 	 5.2 	 -8.53
C66 	 c 	 8.52 	 -5.29
C67 	 c 	 -2.22 	 0.12
C68 	 c 	 -18.32 	 -7.25
C69 	 c 	 24.44 	 -6.33
C70 	 c 	 -8.85 	 -8.97
C71 	 c 	 -21.54 	 -1.1
C72 	 c 	 7.82 	 -6.61
C73 	 c 	 -2.53 	 -5.66
C74 	 c 	 23.15 	 -0.41
C75 	 c 	 -0.09 	 -2.97
C76 	 c 	 -6.63 	 -1.4
C77 	 c 	 16.82 	 0.31
C78 	 c 	 -21.01 	 -8.32
C79 	 c 	 -0.02 	 -9.15
C80 	 c 	 -19.34 	 -1.36
C81 	 c 	 -16.69 	 -5.17
C82 	 c 	 -3.96 	 1.48
C83 	 c 	 -26.71 	 -6.24
C84 	 c 	 9.95 	 2.88
C85 	 c 	 13.97 	 -6.39
C86 	 c 	 3.45 	 -6.41
C87 	 c 	 11.88 	 -5.67
C88 	 c 	 -9.39 	 -3.79
C89 	 c 	 7.94 	 1.88
C90 	 c 	 -0.35 	 -4.05
C91 	 c 	 21.97 	 -9.98
C92 	 c 	 -24.31 	 -0.15
C93 	 c 	 -8.0 	 -1.19
C94 	 c 	 -0.37 	 -2.01
C95 	 c 	 17.33 	 -6.29
C96 	 c 	 18.79 	 -5.46
C97 	 c 	 -22.71 	 -3.91
C98 	 c 	 -21.47 	 -4.31
C99 	 c 	 20.26 	 -7.15
C100 	 c 	 17.34 	 -7.64


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2770/

pStart /0/
pAfs /0.5/
pClient /0.5/
