ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 26.75 	 3.46
C2 	 c 	 -26.15 	 2.86
C3 	 c 	 2.92 	 -5.99
C4 	 c 	 2.38 	 -8.82
C5 	 c 	 4.3 	 -5.55
C6 	 c 	 -19.04 	 -2.93
C7 	 c 	 14.29 	 -1.92
C8 	 c 	 -13.77 	 -3.46
C9 	 c 	 4.85 	 -0.31
C10 	 c 	 19.96 	 -6.56
C11 	 c 	 -9.35 	 0.52
C12 	 c 	 21.43 	 -3.41
C13 	 c 	 3.13 	 -2.29
C14 	 c 	 13.27 	 -5.46
C15 	 c 	 18.88 	 2.21
C16 	 c 	 13.8 	 -4.27
C17 	 c 	 9.78 	 -1.37
C18 	 c 	 -16.82 	 -3.72
C19 	 c 	 -5.93 	 -1.22
C20 	 c 	 -20.93 	 -2.59
C21 	 c 	 -10.25 	 -0.74
C22 	 c 	 24.34 	 2.0
C23 	 c 	 -26.52 	 1.22
C24 	 c 	 -5.14 	 -1.86
C25 	 c 	 -0.5 	 -4.57
C26 	 c 	 9.69 	 -6.5
C27 	 c 	 -14.97 	 -1.95
C28 	 c 	 17.24 	 2.45
C29 	 c 	 -21.86 	 -3.37
C30 	 c 	 25.44 	 -5.62
C31 	 c 	 -11.42 	 -3.56
C32 	 c 	 26.02 	 7.54
C33 	 c 	 -9.0 	 -1.75
C34 	 c 	 -15.57 	 -7.35
C35 	 c 	 -24.11 	 3.49
C36 	 c 	 6.5 	 -4.83
C37 	 c 	 -13.06 	 -5.15
C38 	 c 	 18.64 	 -3.82
C39 	 c 	 2.24 	 -5.25
C40 	 c 	 16.21 	 -2.76
C41 	 c 	 17.07 	 -9.47
C42 	 c 	 22.51 	 1.23
C43 	 c 	 -27.71 	 -1.66
C44 	 c 	 13.38 	 -2.8
C45 	 c 	 28.59 	 3.19
C46 	 c 	 5.08 	 4.05
C47 	 c 	 -18.68 	 -3.53
C48 	 c 	 -28.6 	 -3.17
C49 	 c 	 -24.7 	 7.17
C50 	 c 	 17.81 	 5.32
C51 	 c 	 15.08 	 5.45
C52 	 c 	 22.35 	 3.21
C53 	 c 	 15.71 	 -9.29
C54 	 c 	 -28.05 	 2.8
C55 	 c 	 8.5 	 -3.52
C56 	 c 	 -2.64 	 -5.78
C57 	 c 	 13.2 	 -6.56
C58 	 c 	 -7.9 	 4.56
C59 	 c 	 14.94 	 -4.43
C60 	 c 	 -29.11 	 -0.4
C61 	 c 	 26.65 	 6.92
C62 	 c 	 -9.49 	 2.73
C63 	 c 	 11.7 	 -3.8
C64 	 c 	 -10.62 	 4.41
C65 	 c 	 21.4 	 -9.05
C66 	 c 	 -19.79 	 -5.75
C67 	 c 	 15.68 	 -5.55
C68 	 c 	 3.75 	 -5.05
C69 	 c 	 17.68 	 -5.03
C70 	 c 	 4.54 	 -2.93
C71 	 c 	 0.76 	 -5.07
C72 	 c 	 -6.11 	 -1.18
C73 	 c 	 2.01 	 1.03
C74 	 c 	 22.16 	 -1.75
C75 	 c 	 23.88 	 2.59
C76 	 c 	 10.01 	 -2.74
C77 	 c 	 -9.04 	 -1.81
C78 	 c 	 -21.94 	 1.17
C79 	 c 	 -8.41 	 -3.38
C80 	 c 	 10.73 	 -0.17
C81 	 c 	 6.29 	 -2.64
C82 	 c 	 -15.03 	 -6.82
C83 	 c 	 -0.48 	 0.25
C84 	 c 	 4.28 	 -3.32
C85 	 c 	 -17.12 	 -7.77
C86 	 c 	 6.72 	 -7.23
C87 	 c 	 -17.57 	 -0.94
C88 	 c 	 -21.49 	 2.0
C89 	 c 	 13.78 	 2.44
C90 	 c 	 1.07 	 -7.89
C91 	 c 	 2.88 	 -4.25
C92 	 c 	 2.12 	 -4.89
C93 	 c 	 -4.65 	 0.71
C94 	 c 	 5.7 	 -9.0
C95 	 c 	 -4.1 	 -3.24
C96 	 c 	 -1.5 	 -8.55
C97 	 c 	 -3.01 	 -4.89
C98 	 c 	 -5.56 	 -5.94
C99 	 c 	 -4.04 	 -0.59
C100 	 c 	 -5.64 	 0.91


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2470/

pStart /0/
pAfs /0.5/
pClient /0.5/
