ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 26.53 	 -0.9
C2 	 c 	 -25.24 	 2.42
C3 	 c 	 -11.48 	 -3.98
C4 	 c 	 -2.01 	 -7.78
C5 	 c 	 11.3 	 -8.94
C6 	 c 	 4.12 	 -0.58
C7 	 c 	 3.9 	 0.02
C8 	 c 	 3.86 	 -7.67
C9 	 c 	 -14.15 	 -3.5
C10 	 c 	 -8.16 	 -5.85
C11 	 c 	 -17.57 	 0.26
C12 	 c 	 -6.71 	 -0.23
C13 	 c 	 -19.53 	 -0.09
C14 	 c 	 -3.15 	 -7.42
C15 	 c 	 -4.06 	 -6.1
C16 	 c 	 -6.6 	 -9.32
C17 	 c 	 25.43 	 1.92
C18 	 c 	 23.02 	 -3.24
C19 	 c 	 -6.32 	 -2.7
C20 	 c 	 -18.11 	 1.31
C21 	 c 	 -2.68 	 -7.57
C22 	 c 	 0.03 	 -8.26
C23 	 c 	 27.92 	 0.59
C24 	 c 	 2.15 	 -3.57
C25 	 c 	 6.79 	 -0.42
C26 	 c 	 -11.17 	 -3.07
C27 	 c 	 -23.18 	 4.0
C28 	 c 	 27.44 	 0.03
C29 	 c 	 -23.75 	 4.13
C30 	 c 	 -20.3 	 1.39
C31 	 c 	 -29.5 	 1.53
C32 	 c 	 8.08 	 -3.6
C33 	 c 	 0.7 	 1.86
C34 	 c 	 -18.07 	 2.56
C35 	 c 	 -5.36 	 4.36
C36 	 c 	 -16.68 	 -5.15
C37 	 c 	 -6.07 	 -2.12
C38 	 c 	 9.61 	 0.33
C39 	 c 	 10.8 	 -9.32
C40 	 c 	 -15.93 	 -1.13
C41 	 c 	 25.68 	 -5.09
C42 	 c 	 -12.7 	 -5.59
C43 	 c 	 11.34 	 0.56
C44 	 c 	 28.19 	 -1.21
C45 	 c 	 -5.27 	 -0.09
C46 	 c 	 -2.14 	 -8.39
C47 	 c 	 -4.13 	 -0.42
C48 	 c 	 -22.19 	 -2.85
C49 	 c 	 -7.1 	 -5.33
C50 	 c 	 9.18 	 -6.41
C51 	 c 	 25.18 	 -6.16
C52 	 c 	 28.14 	 4.6
C53 	 c 	 19.81 	 0.54
C54 	 c 	 -2.73 	 -5.28
C55 	 c 	 2.22 	 -8.51
C56 	 c 	 -15.05 	 1.33
C57 	 c 	 -13.28 	 2.74
C58 	 c 	 -2.13 	 -3.92
C59 	 c 	 -15.17 	 -4.65
C60 	 c 	 -20.23 	 2.65
C61 	 c 	 -4.52 	 -7.85
C62 	 c 	 2.6 	 -6.33
C63 	 c 	 2.06 	 2.64
C64 	 c 	 -9.86 	 -8.6
C65 	 c 	 -7.48 	 -7.5
C66 	 c 	 10.78 	 -4.93
C67 	 c 	 -0.36 	 0.12
C68 	 c 	 -3.16 	 -2.85
C69 	 c 	 -1.66 	 -3.21
C70 	 c 	 26.33 	 2.25
C71 	 c 	 -12.73 	 -4.64
C72 	 c 	 28.54 	 4.72
C73 	 c 	 -15.53 	 -4.2
C74 	 c 	 23.63 	 4.59
C75 	 c 	 -22.75 	 -0.73
C76 	 c 	 28.93 	 -3.85
C77 	 c 	 -2.48 	 -7.44
C78 	 c 	 4.39 	 -1.66
C79 	 c 	 27.96 	 -2.83
C80 	 c 	 -20.02 	 3.36
C81 	 c 	 -7.89 	 -1.87
C82 	 c 	 29.9 	 -0.95
C83 	 c 	 1.96 	 -4.21
C84 	 c 	 6.72 	 -5.61
C85 	 c 	 1.53 	 -2.75
C86 	 c 	 1.54 	 -9.2
C87 	 c 	 -3.08 	 -6.74
C88 	 c 	 -0.89 	 -4.94
C89 	 c 	 -3.39 	 -9.93
C90 	 c 	 2.73 	 -3.87
C91 	 c 	 -6.63 	 -8.87
C92 	 c 	 -0.13 	 -6.75
C93 	 c 	 4.08 	 -0.72
C94 	 c 	 -0.22 	 -8.57
C95 	 c 	 4.5 	 -0.6
C96 	 c 	 -2.54 	 -9.63
C97 	 c 	 -10.54 	 -9.96
C98 	 c 	 -5.24 	 -9.91
C99 	 c 	 -3.82 	 -9.74
C100 	 c 	 -2.83 	 -8.06


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2510/

pStart /0/
pAfs /0.5/
pClient /0.5/
