ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 -25.06 	 3.24
C2 	 c 	 19.21 	 -3.66
C3 	 c 	 -9.64 	 -4.47
C4 	 c 	 -24.09 	 3.02
C5 	 c 	 -2.96 	 -3.46
C6 	 c 	 -8.13 	 -8.8
C7 	 c 	 -27.64 	 4.87
C8 	 c 	 -11.92 	 -2.19
C9 	 c 	 24.69 	 -3.16
C10 	 c 	 23.26 	 0.27
C11 	 c 	 1.56 	 -9.3
C12 	 c 	 -11.97 	 -3.92
C13 	 c 	 16.89 	 -1.15
C14 	 c 	 -11.61 	 -0.19
C15 	 c 	 -22.48 	 -4.57
C16 	 c 	 8.66 	 -2.97
C17 	 c 	 18.11 	 -2.16
C18 	 c 	 -11.84 	 -2.74
C19 	 c 	 3.59 	 -0.42
C20 	 c 	 10.95 	 -5.86
C21 	 c 	 -0.36 	 -2.34
C22 	 c 	 -1.71 	 -6.12
C23 	 c 	 -27.74 	 -4.09
C24 	 c 	 -29.5 	 4.52
C25 	 c 	 27.06 	 4.1
C26 	 c 	 -12.52 	 -7.95
C27 	 c 	 -19.63 	 5.0
C28 	 c 	 0.74 	 -5.8
C29 	 c 	 10.59 	 -3.51
C30 	 c 	 -23.0 	 -9.1
C31 	 c 	 -25.13 	 -5.61
C32 	 c 	 -21.99 	 5.61
C33 	 c 	 -19.34 	 3.53
C34 	 c 	 3.52 	 1.39
C35 	 c 	 -14.86 	 0.2
C36 	 c 	 -9.58 	 -6.92
C37 	 c 	 -20.68 	 -3.58
C38 	 c 	 -10.51 	 -2.55
C39 	 c 	 -25.56 	 -4.68
C40 	 c 	 2.74 	 -1.14
C41 	 c 	 -24.7 	 8.41
C42 	 c 	 -29.81 	 -0.92
C43 	 c 	 -3.24 	 -5.16
C44 	 c 	 24.39 	 6.9
C45 	 c 	 5.21 	 -0.45
C46 	 c 	 16.11 	 0.09
C47 	 c 	 -28.83 	 -4.0
C48 	 c 	 -29.65 	 5.8
C49 	 c 	 21.67 	 -7.18
C50 	 c 	 5.85 	 -3.78
C51 	 c 	 27.07 	 -0.87
C52 	 c 	 14.19 	 1.05
C53 	 c 	 10.07 	 -7.13
C54 	 c 	 -15.45 	 0.33
C55 	 c 	 23.66 	 7.43
C56 	 c 	 -8.21 	 2.17
C57 	 c 	 -24.97 	 4.83
C58 	 c 	 0.39 	 -9.47
C59 	 c 	 7.45 	 -4.36
C60 	 c 	 -4.52 	 -0.23
C61 	 c 	 -1.46 	 -4.56
C62 	 c 	 0.42 	 -2.86
C63 	 c 	 27.13 	 -5.9
C64 	 c 	 -9.83 	 -7.7
C65 	 c 	 -5.56 	 0.21
C66 	 c 	 24.58 	 -1.38
C67 	 c 	 -26.33 	 1.67
C68 	 c 	 -10.53 	 -8.6
C69 	 c 	 -13.43 	 -2.16
C70 	 c 	 0.84 	 -4.22
C71 	 c 	 0.87 	 -9.34
C72 	 c 	 -9.33 	 -4.23
C73 	 c 	 1.08 	 -6.42
C74 	 c 	 19.05 	 -2.35
C75 	 c 	 29.97 	 3.7
C76 	 c 	 -27.65 	 6.82
C77 	 c 	 -26.2 	 2.96
C78 	 c 	 20.95 	 3.72
C79 	 c 	 -29.86 	 5.29
C80 	 c 	 -29.7 	 3.09
C81 	 c 	 -11.64 	 -3.54
C82 	 c 	 -25.25 	 6.38
C83 	 c 	 -16.05 	 -4.37
C84 	 c 	 21.99 	 -4.9
C85 	 c 	 8.15 	 -8.6
C86 	 c 	 13.62 	 2.43
C87 	 c 	 -1.5 	 0.02
C88 	 c 	 13.19 	 -8.78
C89 	 c 	 21.43 	 -1.83
C90 	 c 	 2.05 	 -7.55
C91 	 c 	 20.23 	 3.55
C92 	 c 	 20.11 	 -4.02
C93 	 c 	 -11.41 	 -3.19
C94 	 c 	 -11.18 	 -2.1
C95 	 c 	 -13.45 	 -1.49
C96 	 c 	 -6.87 	 -3.05
C97 	 c 	 -7.11 	 -5.35
C98 	 c 	 19.6 	 -0.05
C99 	 c 	 20.54 	 -1.0
C100 	 c 	 -11.93 	 -2.49


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2570/

pStart /0/
pAfs /0.5/
pClient /0.5/
