ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 23.39 	 -0.62
C2 	 c 	 20.63 	 2.22
C3 	 c 	 -16.49 	 -3.33
C4 	 c 	 -2.64 	 -4.09
C5 	 c 	 19.28 	 1.32
C6 	 c 	 11.71 	 -2.72
C7 	 c 	 9.83 	 -3.94
C8 	 c 	 -11.67 	 -4.41
C9 	 c 	 -22.68 	 0.27
C10 	 c 	 -16.45 	 0.51
C11 	 c 	 22.85 	 -4.05
C12 	 c 	 -10.32 	 -8.82
C13 	 c 	 -3.84 	 -3.37
C14 	 c 	 -11.6 	 -1.27
C15 	 c 	 4.56 	 -3.47
C16 	 c 	 23.51 	 -4.64
C17 	 c 	 -7.51 	 -4.27
C18 	 c 	 25.3 	 -1.34
C19 	 c 	 16.42 	 -0.43
C20 	 c 	 25.62 	 -2.88
C21 	 c 	 24.81 	 -1.4
C22 	 c 	 25.36 	 2.84
C23 	 c 	 -10.51 	 -6.27
C24 	 c 	 -26.19 	 1.74
C25 	 c 	 -0.17 	 -3.85
C26 	 c 	 17.55 	 3.97
C27 	 c 	 -2.25 	 -1.85
C28 	 c 	 -20.81 	 3.1
C29 	 c 	 22.66 	 -6.92
C30 	 c 	 -27.04 	 2.27
C31 	 c 	 -25.25 	 3.0
C32 	 c 	 19.66 	 -7.45
C33 	 c 	 28.27 	 4.74
C34 	 c 	 -15.67 	 -7.89
C35 	 c 	 -16.71 	 -5.53
C36 	 c 	 -10.83 	 -2.18
C37 	 c 	 -16.4 	 3.01
C38 	 c 	 18.52 	 -4.15
C39 	 c 	 -17.21 	 -3.76
C40 	 c 	 -6.58 	 -9.99
C41 	 c 	 -6.74 	 -4.83
C42 	 c 	 23.35 	 -2.98
C43 	 c 	 11.96 	 -8.21
C44 	 c 	 29.84 	 3.25
C45 	 c 	 -3.03 	 -5.84
C46 	 c 	 -1.9 	 -2.41
C47 	 c 	 -13.89 	 2.55
C48 	 c 	 -26.1 	 5.18
C49 	 c 	 -1.57 	 -1.47
C50 	 c 	 13.07 	 -5.68
C51 	 c 	 21.83 	 5.16
C52 	 c 	 0.95 	 -7.35
C53 	 c 	 -11.89 	 -7.04
C54 	 c 	 -13.58 	 -1.54
C55 	 c 	 20.58 	 -5.04
C56 	 c 	 5.23 	 -4.48
C57 	 c 	 27.2 	 -2.28
C58 	 c 	 -23.54 	 1.28
C59 	 c 	 24.4 	 -4.45
C60 	 c 	 -21.05 	 -1.24
C61 	 c 	 6.24 	 -8.13
C62 	 c 	 -7.48 	 -8.12
C63 	 c 	 -19.65 	 3.0
C64 	 c 	 17.65 	 -1.75
C65 	 c 	 -11.47 	 -4.91
C66 	 c 	 28.62 	 -4.94
C67 	 c 	 4.48 	 -7.49
C68 	 c 	 -10.3 	 -5.02
C69 	 c 	 -0.95 	 -5.01
C70 	 c 	 20.42 	 5.79
C71 	 c 	 12.39 	 0.98
C72 	 c 	 16.3 	 -1.55
C73 	 c 	 23.34 	 0.47
C74 	 c 	 18.46 	 5.94
C75 	 c 	 -13.41 	 -6.81
C76 	 c 	 -10.11 	 -3.54
C77 	 c 	 12.47 	 -6.59
C78 	 c 	 -4.87 	 -3.17
C79 	 c 	 10.61 	 -3.81
C80 	 c 	 -1.83 	 -6.83
C81 	 c 	 24.19 	 -8.9
C82 	 c 	 -12.64 	 -0.64
C83 	 c 	 29.41 	 2.57
C84 	 c 	 -2.4 	 0.37
C85 	 c 	 23.57 	 -0.06
C86 	 c 	 -7.23 	 -6.81
C87 	 c 	 10.34 	 -1.79
C88 	 c 	 25.65 	 -2.2
C89 	 c 	 -6.14 	 -9.79
C90 	 c 	 22.17 	 -2.17
C91 	 c 	 -11.51 	 -5.32
C92 	 c 	 25.73 	 -2.0
C93 	 c 	 -8.02 	 -5.47
C94 	 c 	 26.62 	 0.27
C95 	 c 	 27.09 	 -0.81
C96 	 c 	 19.69 	 -1.13
C97 	 c 	 17.06 	 3.05
C98 	 c 	 24.97 	 -1.62
C99 	 c 	 24.01 	 -2.7
C100 	 c 	 24.63 	 -0.42


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /2870/

pStart /0/
pAfs /0.5/
pClient /0.5/
