ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 25.39 	 1.36
C2 	 c 	 -1.85 	 -0.83
C3 	 c 	 -23.26 	 -6.26
C4 	 c 	 21.29 	 -0.77
C5 	 c 	 16.03 	 -3.16
C6 	 c 	 -10.48 	 -6.5
C7 	 c 	 -4.34 	 -2.24
C8 	 c 	 9.3 	 -5.61
C9 	 c 	 -25.63 	 2.4
C10 	 c 	 4.79 	 -0.51
C11 	 c 	 3.69 	 -4.6
C12 	 c 	 15.14 	 -1.55
C13 	 c 	 -14.84 	 -2.36
C14 	 c 	 12.27 	 -8.03
C15 	 c 	 -24.53 	 7.21
C16 	 c 	 5.4 	 -1.58
C17 	 c 	 -17.31 	 -4.34
C18 	 c 	 21.47 	 -0.44
C19 	 c 	 9.88 	 -0.84
C20 	 c 	 20.68 	 -5.21
C21 	 c 	 -6.21 	 -0.21
C22 	 c 	 -13.01 	 -9.03
C23 	 c 	 9.74 	 0.15
C24 	 c 	 9.64 	 -0.6
C25 	 c 	 15.52 	 0.14
C26 	 c 	 24.37 	 1.13
C27 	 c 	 -28.47 	 2.98
C28 	 c 	 18.36 	 -5.78
C29 	 c 	 28.52 	 3.98
C30 	 c 	 14.45 	 1.31
C31 	 c 	 14.92 	 -1.89
C32 	 c 	 -19.56 	 -6.4
C33 	 c 	 -26.38 	 -2.74
C34 	 c 	 -25.8 	 -8.95
C35 	 c 	 24.15 	 -4.14
C36 	 c 	 25.57 	 -2.01
C37 	 c 	 5.74 	 -4.89
C38 	 c 	 -15.74 	 -1.17
C39 	 c 	 -17.15 	 1.55
C40 	 c 	 -10.64 	 -9.48
C41 	 c 	 -26.66 	 3.61
C42 	 c 	 -6.59 	 -5.75
C43 	 c 	 -2.1 	 -0.63
C44 	 c 	 -2.73 	 -1.16
C45 	 c 	 0.5 	 0.23
C46 	 c 	 2.63 	 -7.13
C47 	 c 	 17.27 	 -5.27
C48 	 c 	 -4.95 	 -4.99
C49 	 c 	 -1.72 	 -6.42
C50 	 c 	 10.04 	 -6.56


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /13/
seed for generator /2211/

pStart /0/
pAfs /0.5/
pClient /0.5/
