ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 14.55 	 -4.35
C2 	 c 	 20.44 	 -7.57
C3 	 c 	 -10.87 	 -5.37
C4 	 c 	 -9.25 	 -0.11
C5 	 c 	 26.97 	 3.26
C6 	 c 	 -6.05 	 -1.32
C7 	 c 	 20.99 	 0.69
C8 	 c 	 9.9 	 -1.36
C9 	 c 	 -13.69 	 -5.19
C10 	 c 	 28.84 	 -4.5
C11 	 c 	 -12.98 	 -3.65
C12 	 c 	 1.02 	 -3.9
C13 	 c 	 26.86 	 -3.27
C14 	 c 	 29.55 	 4.03
C15 	 c 	 20.09 	 -2.44
C16 	 c 	 -13.58 	 -9.97
C17 	 c 	 26.68 	 6.82
C18 	 c 	 -5.31 	 -0.67
C19 	 c 	 -13.16 	 -8.9
C20 	 c 	 -0.52 	 -6.23
C21 	 c 	 0.62 	 -6.77
C22 	 c 	 26.19 	 -0.7
C23 	 c 	 14.96 	 -0.01
C24 	 c 	 -8.01 	 -6.72
C25 	 c 	 -7.43 	 -4.73
C26 	 c 	 17.79 	 -2.7
C27 	 c 	 13.57 	 1.25
C28 	 c 	 22.31 	 -1.74
C29 	 c 	 21.43 	 -6.65
C30 	 c 	 22.26 	 4.95
C31 	 c 	 17.39 	 -2.01
C32 	 c 	 10.83 	 -1.44
C33 	 c 	 1.02 	 -6.82
C34 	 c 	 -16.91 	 -8.69
C35 	 c 	 17.56 	 -6.42
C36 	 c 	 -16.73 	 -1.36
C37 	 c 	 10.77 	 -1.32
C38 	 c 	 -11.44 	 1.48
C39 	 c 	 -13.18 	 1.22
C40 	 c 	 -13.28 	 0.34
C41 	 c 	 -5.72 	 -1.3
C42 	 c 	 -9.63 	 -8.32
C43 	 c 	 -5.69 	 -2.87
C44 	 c 	 -12.06 	 3.2
C45 	 c 	 -12.61 	 -1.67
C46 	 c 	 27.57 	 1.13
C47 	 c 	 18.93 	 -8.48
C48 	 c 	 28.59 	 -5.99
C49 	 c 	 28.49 	 -9.32
C50 	 c 	 24.32 	 -1.09


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /13/
seed for generator /802/

pStart /0/
pAfs /0.5/
pClient /0.5/
