ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 0.62 	 -8.74
C2 	 c 	 22.69 	 -2.53
C3 	 c 	 13.9 	 -8.62
C4 	 c 	 -7.16 	 -7.35
C5 	 c 	 -8.79 	 -5.04
C6 	 c 	 10.82 	 -2.04
C7 	 c 	 -8.5 	 -3.43
C8 	 c 	 24.65 	 -0.16
C9 	 c 	 27.46 	 0.64
C10 	 c 	 -16.9 	 -7.24
C11 	 c 	 -13.55 	 -6.9
C12 	 c 	 4.34 	 -0.15
C13 	 c 	 -25.14 	 -1.05
C14 	 c 	 -0.69 	 -8.89
C15 	 c 	 10.51 	 -0.54
C16 	 c 	 2.92 	 -3.5
C17 	 c 	 21.11 	 -0.52
C18 	 c 	 13.09 	 -2.43
C19 	 c 	 13.95 	 -3.22
C20 	 c 	 23.89 	 3.61
C21 	 c 	 -12.64 	 -5.11
C22 	 c 	 -26.41 	 1.74
C23 	 c 	 -18.71 	 -2.21
C24 	 c 	 26.36 	 1.42
C25 	 c 	 -20.84 	 0.29
C26 	 c 	 26.84 	 2.08
C27 	 c 	 -0.52 	 -6.18
C28 	 c 	 -29.86 	 3.74
C29 	 c 	 26.06 	 7.23
C30 	 c 	 -6.15 	 -0.02
C31 	 c 	 -22.58 	 -0.33
C32 	 c 	 20.18 	 -2.63
C33 	 c 	 25.66 	 -0.41
C34 	 c 	 1.04 	 3.32
C35 	 c 	 -20.8 	 -5.14
C36 	 c 	 9.0 	 2.11
C37 	 c 	 28.21 	 3.25
C38 	 c 	 -14.41 	 -2.95
C39 	 c 	 -20.4 	 -4.62
C40 	 c 	 0.43 	 -8.99
C41 	 c 	 26.04 	 -2.99
C42 	 c 	 10.78 	 -2.51
C43 	 c 	 26.24 	 -0.94
C44 	 c 	 3.68 	 3.24
C45 	 c 	 11.66 	 -4.16
C46 	 c 	 -26.19 	 -0.21
C47 	 c 	 7.06 	 -0.43
C48 	 c 	 26.27 	 3.3
C49 	 c 	 -5.84 	 -2.62
C50 	 c 	 5.49 	 -6.83
C51 	 c 	 19.09 	 -2.65
C52 	 c 	 -24.98 	 5.13
C53 	 c 	 -1.78 	 -2.75
C54 	 c 	 1.2 	 -2.34
C55 	 c 	 15.91 	 -5.57
C56 	 c 	 0.79 	 -6.63
C57 	 c 	 14.08 	 -3.27
C58 	 c 	 -24.05 	 2.65
C59 	 c 	 -3.37 	 -5.32
C60 	 c 	 -5.06 	 -8.48
C61 	 c 	 19.59 	 -3.53
C62 	 c 	 -26.06 	 -0.08
C63 	 c 	 22.04 	 6.89
C64 	 c 	 18.94 	 1.85
C65 	 c 	 7.73 	 2.04
C66 	 c 	 14.19 	 -2.62
C67 	 c 	 17.31 	 -8.77
C68 	 c 	 -17.3 	 2.58
C69 	 c 	 9.85 	 1.77
C70 	 c 	 22.11 	 6.22
C71 	 c 	 -21.05 	 0.04
C72 	 c 	 -17.76 	 -8.98
C73 	 c 	 -6.62 	 -9.77
C74 	 c 	 -5.2 	 -3.95
C75 	 c 	 22.86 	 -5.44
C76 	 c 	 -27.46 	 -2.78
C77 	 c 	 29.16 	 4.15
C78 	 c 	 -19.96 	 -1.28
C79 	 c 	 -16.66 	 -9.23
C80 	 c 	 -20.98 	 -9.32
C81 	 c 	 10.21 	 -9.6
C82 	 c 	 23.03 	 -1.1
C83 	 c 	 10.85 	 -7.64
C84 	 c 	 7.75 	 -5.73
C85 	 c 	 -13.05 	 -0.18
C86 	 c 	 7.95 	 -3.91
C87 	 c 	 0.93 	 -7.56
C88 	 c 	 28.94 	 -0.77
C89 	 c 	 -1.05 	 -8.04
C90 	 c 	 -12.95 	 -6.77
C91 	 c 	 -1.72 	 -4.66
C92 	 c 	 -11.84 	 -3.44
C93 	 c 	 -9.79 	 -4.13
C94 	 c 	 15.77 	 1.0
C95 	 c 	 28.26 	 -0.58
C96 	 c 	 -7.3 	 -4.59
C97 	 c 	 -14.63 	 -5.49
C98 	 c 	 -14.62 	 -8.2
C99 	 c 	 -6.29 	 -4.79
C100 	 c 	 14.1 	 0.15


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /25/
seed for generator /3970/

pStart /0/
pAfs /0.5/
pClient /0.5/
