ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 -4.33 	 -2.1
C2 	 c 	 -0.87 	 -6.64
C3 	 c 	 -5.51 	 -9.24
C4 	 c 	 -14.91 	 -8.03
C5 	 c 	 25.41 	 -2.81
C6 	 c 	 9.71 	 -7.18
C7 	 c 	 3.83 	 -2.72
C8 	 c 	 10.03 	 -3.91
C9 	 c 	 19.28 	 -6.0
C10 	 c 	 11.92 	 -2.31
C11 	 c 	 12.88 	 -8.36
C12 	 c 	 -5.81 	 -1.75
C13 	 c 	 -11.78 	 -5.28
C14 	 c 	 -5.63 	 -7.81
C15 	 c 	 -13.64 	 -6.33
C16 	 c 	 -17.62 	 -5.16
C17 	 c 	 16.25 	 -5.97
C18 	 c 	 -9.8 	 1.19
C19 	 c 	 2.57 	 -7.58
C20 	 c 	 -1.29 	 -8.43
C21 	 c 	 15.21 	 -3.84
C22 	 c 	 -17.91 	 -8.35
C23 	 c 	 27.52 	 -2.41
C24 	 c 	 25.95 	 -1.64
C25 	 c 	 29.81 	 -1.79
C26 	 c 	 14.21 	 -1.94
C27 	 c 	 -9.76 	 -3.7
C28 	 c 	 21.44 	 -6.27
C29 	 c 	 5.03 	 -8.49
C30 	 c 	 -14.54 	 -3.11
C31 	 c 	 14.01 	 -4.69
C32 	 c 	 5.35 	 -6.4
C33 	 c 	 15.72 	 -9.82
C34 	 c 	 -4.31 	 -0.54
C35 	 c 	 15.84 	 -7.84
C36 	 c 	 17.2 	 -7.43
C37 	 c 	 -5.53 	 -4.71
C38 	 c 	 4.23 	 -3.97
C39 	 c 	 2.45 	 -5.31
C40 	 c 	 -11.4 	 -4.59
C41 	 c 	 10.46 	 -4.11
C42 	 c 	 -5.52 	 -1.22
C43 	 c 	 7.87 	 -6.0
C44 	 c 	 -6.43 	 -9.65
C45 	 c 	 -7.29 	 -9.84
C46 	 c 	 8.73 	 -9.69
C47 	 c 	 -3.42 	 1.72
C48 	 c 	 -8.6 	 -2.68
C49 	 c 	 0.56 	 -8.61
C50 	 c 	 8.37 	 -4.21


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /13/
seed for generator /2201/

pStart /0/
pAfs /0.5/
pClient /0.5/
