ID 	 Type 	 Longitude 	 Latitude
D 	 d 	 0.00 	 80.00
S1 	 f 	 0.00 	 0.00
C1 	 c 	 8.92 	 -8.96
C2 	 c 	 14.44 	 -0.68
C3 	 c 	 -27.54 	 3.04
C4 	 c 	 -7.05 	 -7.77
C5 	 c 	 5.73 	 -9.17
C6 	 c 	 9.49 	 -7.48
C7 	 c 	 1.14 	 -6.68
C8 	 c 	 -3.42 	 -1.65
C9 	 c 	 -6.1 	 -8.71
C10 	 c 	 8.23 	 0.14
C11 	 c 	 4.45 	 -8.26
C12 	 c 	 -21.95 	 0.31
C13 	 c 	 -14.89 	 -7.98
C14 	 c 	 16.31 	 -5.13
C15 	 c 	 -4.7 	 -4.33
C16 	 c 	 -5.51 	 -9.52
C17 	 c 	 5.95 	 -0.47
C18 	 c 	 0.68 	 -6.31
C19 	 c 	 0.96 	 -8.77
C20 	 c 	 6.56 	 -4.24
C21 	 c 	 -15.38 	 -3.16
C22 	 c 	 -18.76 	 -9.97
C23 	 c 	 2.38 	 -3.71
C24 	 c 	 -21.0 	 -0.67
C25 	 c 	 19.01 	 0.38
C26 	 c 	 -2.13 	 1.79
C27 	 c 	 8.39 	 3.11
C28 	 c 	 -23.07 	 4.88
C29 	 c 	 3.41 	 -0.82
C30 	 c 	 -7.08 	 0.93
C31 	 c 	 17.77 	 -1.45
C32 	 c 	 -27.49 	 3.23
C33 	 c 	 7.38 	 -5.05
C34 	 c 	 -29.94 	 0.91
C35 	 c 	 -13.09 	 -9.21
C36 	 c 	 -23.83 	 -0.15
C37 	 c 	 3.54 	 -9.17
C38 	 c 	 2.26 	 -9.23
C39 	 c 	 12.72 	 -5.1
C40 	 c 	 -25.54 	 3.75
C41 	 c 	 -5.14 	 -6.44
C42 	 c 	 3.31 	 -9.69
C43 	 c 	 -7.92 	 -3.87
C44 	 c 	 -6.91 	 -7.31
C45 	 c 	 9.02 	 -8.74
C46 	 c 	 5.47 	 -9.78
C47 	 c 	 7.86 	 -8.26
C48 	 c 	 11.16 	 -9.08
C49 	 c 	 -3.53 	 -6.3
C50 	 c 	 -2.93 	 -8.91


Q Vehicle fuel tank capacity /32.0/
r fuel consumption rate /0.2/
TL TourLength /7.5/
v average Velocity /40.0/
m numVeh /13/
seed for generator /1211/

pStart /0/
pAfs /0.5/
pClient /0.5/
